"","eld_bounds","pop_in_000","pct","inc_level"
"190","YIO CHU KANG",1.44667588674602,7.80699337310835,"$5,000 - $5,999"
"191","YUHUA",0.362940679873471,7.80927261377504,"$5,000 - $5,999"
"192",NA,NA,NA,"$5,000 - $5,999"
"193","ALJUNIED",9.0583244241922,6.11784933498982,"$6,000 - $6,999"
"194","ANG MO KIO",10.8737515109241,6.13405115078832,"$6,000 - $6,999"
"195","BISHAN-TOA PAYOH",4.43600293833841,5.36730723654427,"$6,000 - $6,999"
"196","BUKIT BATOK",0.558634015416892,5.8203062812297,"$6,000 - $6,999"
"197","BUKIT PANJANG",0.927054016581028,6.86641697877653,"$6,000 - $6,999"
"198","CHUA CHU KANG",6.07977567916689,5.97782736702722,"$6,000 - $6,999"
"199","EAST COAST",10.1348668204598,6.47285872947043,"$6,000 - $6,999"
"200","HOLLAND-BUKIT TIMAH",6.44707499508873,5.93139558947337,"$6,000 - $6,999"
"201","HONG KAH NORTH",0.823630874402026,5.81001102603616,"$6,000 - $6,999"
"202","HOUGANG",0.758393262883302,6.12582781456954,"$6,000 - $6,999"
"203","JALAN BESAR",4.18963925389929,6.22896987023813,"$6,000 - $6,999"
"204","JURONG",4.9910190934669,5.91704498042428,"$6,000 - $6,999"
"205","KEBUN BARU",1.83704351457971,5.92865267982083,"$6,000 - $6,999"
"206","MACPHERSON",0.77112179517826,5.70030219137791,"$6,000 - $6,999"
"207","MARINE PARADE",7.15291026379256,5.87895275616553,"$6,000 - $6,999"
"208","MARSILING-YEW TEE",6.00654248691708,6.6072606867649,"$6,000 - $6,999"
"209","MARYMOUNT",0.663099885363312,5.45493360293161,"$6,000 - $6,999"
"210","MOUNTBATTEN",1.82423849488312,5.68388181558527,"$6,000 - $6,999"
"211","NEE SOON",4.8498004640469,4.86571454295193,"$6,000 - $6,999"
"212","PASIR RIS-PUNGGOL",9.10194346887764,7.97890799539101,"$6,000 - $6,999"
"213","PIONEER",0.642271150905878,5.4820415879017,"$6,000 - $6,999"
"214","POTONG PASIR",2.08659838051832,5.2997295183291,"$6,000 - $6,999"
"215","PUNGGOL WEST",0.809885138823683,9.09316092919805,"$6,000 - $6,999"
"216","RADIN MAS",0.916915520045518,5.71776155717762,"$6,000 - $6,999"
"217","SEMBAWANG",8.92581304990872,7.25308636106653,"$6,000 - $6,999"
"218","SENGKANG",4.24904686590723,7.07479824064335,"$6,000 - $6,999"
"219","TAMPINES",4.30794717670092,6.61013896736861,"$6,000 - $6,999"
"220","TANJONG PAGAR",3.44503459455641,5.24967708181889,"$6,000 - $6,999"
"221","WEST COAST",13.2508543082976,5.86417716479506,"$6,000 - $6,999"
"222","YIO CHU KANG",1.09848702866532,5.92799052766764,"$6,000 - $6,999"
"223","YUHUA",0.282279527212271,6.0737137045554,"$6,000 - $6,999"
"224",NA,NA,NA,"$6,000 - $6,999"
"225","ALJUNIED",6.12033654404862,4.13357869540655,"$7,000 - $7,999"
"226","ANG MO KIO",8.15240468618721,4.59889738116232,"$7,000 - $7,999"
"227","BISHAN-TOA PAYOH",3.9964064255272,4.8354208565828,"$7,000 - $7,999"
"228","BUKIT BATOK",0.444363479253747,4.62974233232032,"$7,000 - $7,999"
"229","BUKIT PANJANG",0.640510047819619,4.74406991260924,"$7,000 - $7,999"
"230","CHUA CHU KANG",5.29602481670578,5.20721877852199,"$7,000 - $7,999"
"231","EAST COAST",6.62147365073893,4.22895182358198,"$7,000 - $7,999"
"232","HOLLAND-BUKIT TIMAH",5.4026540262376,4.97051426997325,"$7,000 - $7,999"
"233","HONG KAH NORTH",0.66358393989565,4.68101685757393,"$7,000 - $7,999"
"234","HOUGANG",0.512427880326555,4.13907284768212,"$7,000 - $7,999"
"235","JALAN BESAR",2.53152552416082,3.76375989915136,"$7,000 - $7,999"
